流水序,Unicode,常用字
00001,4e00,一
00002,4e01,丁
00003,4e03,七
00004,4e09,三
00005,4e0b,下
00006,4e08,丈
00007,4e0a,上
00008,4e11,丑
00009,4e10,丐
00010,4e0d,不
00011,4e19,丙
00012,4e16,世
00013,4e15,丕
00014,4e14,且
00015,4e18,丘
00016,4e1e,丞
00017,4e1f,丟
00018,4e26,並
00019,4e2b,丫
00020,4e2d,中
00021,4e32,串
00022,4e38,丸
00023,51e1,凡
00024,4e39,丹
00025,4e3b,主
00026,4e43,乃
00027,4e45,久
00028,4e48,么
00029,4e4b,之
00030,5c39,尹
00031,4e4d,乍
00032,4e4f,乏
00033,4e4e,乎
00034,4e52,乒
00035,4e53,乓
00036,4e56,乖
00037,4e58,乘
00038,4e59,乙
00039,4e5d,九
00040,4e5f,也
00041,4e5e,乞
00042,4e69,乩
00043,4e73,乳
00044,4e7e,乾
00045,4e82,亂
00046,4e86,了
00047,4e88,予
00048,4e8b,事
00049,4e8c,二
00050,4e8e,于
00051,4e91,云
00052,4e95,井
00053,4e92,互
00054,4e94,五
00055,4e99,亙
00056,4e9b,些
00057,4e9e,亞
00058,4e9f,亟
00059,4ea1,亡
00060,4ea4,交
00061,4ea6,亦
00062,4ea5,亥
00063,4ea8,亨
00064,4eab,享
00065,4eac,京
00066,4ead,亭
00067,4eae,亮
00068,4eba,人
00069,4ec1,仁
00070,4ec0,什
00071,4ec3,仃
00072,4ec6,仆
00073,4ec7,仇
00074,4ecd,仍
00075,4eca,今
00076,4ecb,介
00077,4ec4,仄
00078,4ee5,以
00079,4ed8,付
00080,4ed4,仔
00081,4ed5,仕
00082,4ed6,他
00083,4ed7,仗
00084,4ee3,代
00085,4ee4,令
00086,4ed9,仙
00087,4ede,仞
00088,4eff,仿
00089,4f09,伉
00090,4f19,伙
00091,4f0a,伊
00092,4f15,伕
00093,4f0d,伍
00094,4f10,伐
00095,4f11,休
00096,4f0f,伏
00097,4ef2,仲
00098,4ef6,件
00099,4efb,任
00100,4ef0,仰
00101,4ef3,仳
00102,4efd,份
00103,4f01,企
00104,4f4d,位
00105,4f4f,住
00106,4f47,佇
00107,4f57,佗
00108,4f5e,佞
00109,4f34,伴
00110,4f5b,佛
00111,4f55,何
00112,4f30,估
00113,4f50,佐
00114,4f51,佑
00115,4f3d,伽
00116,4f3a,伺
00117,4f38,伸
00118,4f43,佃
00119,4f54,佔
00120,4f3c,似
00121,4f46,但
00122,4f63,佣
00123,4f5c,作
